#options: 480x852 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=10 rc=abr mbtree=1 bitrate=18407 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=22088 vbv_bufsize=36814 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:102 out:104 type:b dur:2 cpbdur:2 q:25.97 aq:27.51 tex:427551 mv:14133 misc:596 imb:555 pmb:957 smb:108 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:25.97 aq:27.66 tex:429247 mv:14840 misc:529 imb:570 pmb:949 smb:101 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:25.90 aq:25.72 tex:821159 mv:9387 misc:158 imb:813 pmb:807 smb:0 d:- ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:25.92 aq:26.93 tex:516286 mv:14680 misc:370 imb:517 pmb:1059 smb:44 d:- ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:25.92 aq:27.80 tex:407441 mv:14134 misc:681 imb:522 pmb:918 smb:180 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:25.92 aq:27.53 tex:396361 mv:13037 misc:810 imb:499 pmb:873 smb:248 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:25.89 aq:25.77 tex:762539 mv:9631 misc:150 imb:702 pmb:918 smb:0 d:- ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:25.90 aq:26.80 tex:508361 mv:16303 misc:512 imb:503 pmb:1028 smb:89 d:- ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:25.90 aq:27.59 tex:406506 mv:14607 misc:671 imb:488 pmb:928 smb:204 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:25.90 aq:27.73 tex:404879 mv:14157 misc:708 imb:509 pmb:937 smb:174 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:25.90 aq:25.82 tex:747186 mv:9828 misc:162 imb:689 pmb:931 smb:0 d:- ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:25.90 aq:26.85 tex:505750 mv:15973 misc:429 imb:527 pmb:1020 smb:73 d:- ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:25.90 aq:27.47 tex:419869 mv:16228 misc:623 imb:530 pmb:872 smb:218 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:25.90 aq:27.62 tex:415019 mv:15738 misc:643 imb:512 pmb:924 smb:184 d:- ref:0 ;
in:121 out:118 type:P dur:2 cpbdur:2 q:25.79 aq:25.79 tex:744770 mv:9261 misc:209 imb:688 pmb:921 smb:11 d:- ref:0 ;
in:119 out:119 type:B dur:2 cpbdur:2 q:25.90 aq:26.91 tex:504427 mv:16331 misc:482 imb:506 pmb:1030 smb:84 d:- ref:0 ;
in:118 out:120 type:b dur:2 cpbdur:2 q:25.90 aq:27.45 tex:408977 mv:14435 misc:644 imb:507 pmb:892 smb:221 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:25.90 aq:27.65 tex:398998 mv:14712 misc:698 imb:489 pmb:926 smb:205 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:25.73 aq:25.59 tex:798165 mv:9998 misc:173 imb:728 pmb:892 smb:0 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:25.79 aq:26.79 tex:526060 mv:16488 misc:436 imb:513 pmb:1053 smb:54 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:25.79 aq:27.42 tex:416946 mv:14360 misc:726 imb:513 pmb:891 smb:216 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:25.79 aq:27.50 tex:417842 mv:14973 misc:681 imb:503 pmb:929 smb:188 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:25.66 aq:25.45 tex:791287 mv:9424 misc:161 imb:702 pmb:918 smb:0 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:25.73 aq:26.68 tex:530312 mv:16400 misc:480 imb:522 pmb:1020 smb:78 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:25.73 aq:27.35 tex:423233 mv:15443 misc:676 imb:495 pmb:926 smb:199 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:25.73 aq:27.52 tex:432909 mv:15429 misc:614 imb:509 pmb:941 smb:170 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:25.70 aq:25.59 tex:748907 mv:8606 misc:167 imb:677 pmb:943 smb:0 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:25.70 aq:26.66 tex:519601 mv:14512 misc:479 imb:507 pmb:1036 smb:77 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:25.70 aq:27.25 tex:421633 mv:14711 misc:656 imb:508 pmb:895 smb:217 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:25.70 aq:27.43 tex:430860 mv:15019 misc:625 imb:483 pmb:950 smb:187 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:25.61 aq:26.09 tex:695385 mv:9839 misc:176 imb:706 pmb:912 smb:2 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:25.70 aq:26.77 tex:518462 mv:16269 misc:437 imb:524 pmb:1020 smb:76 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:25.70 aq:27.31 tex:423744 mv:14971 misc:693 imb:491 pmb:911 smb:218 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:25.70 aq:27.45 tex:429648 mv:14285 misc:771 imb:496 pmb:920 smb:204 d:- ref:0 ;
in:140 out:138 type:P dur:2 cpbdur:2 q:25.52 aq:27.34 tex:547429 mv:9699 misc:384 imb:717 pmb:850 smb:53 d:- ref:0 ;
in:138 out:139 type:B dur:2 cpbdur:2 q:25.61 aq:26.96 tex:490396 mv:15508 misc:584 imb:543 pmb:960 smb:117 d:- ref:0 ;
